respondent_id,louvain,girvan_newman,mean_opinion,mean_T,mean_E,mean_S,mean_V
109,1,0,0.525,0.43333333333333335,0.5333333333333333,0.7,0.43333333333333335
110,0,0,0.8416666666666667,0.6,0.7666666666666667,1.0,1.0
111,1,0,0.5083333333333333,0.6333333333333333,0.06666666666666667,0.8333333333333334,0.5
113,1,2,0.44166666666666665,0.5,0.4666666666666667,0.4,0.4
114,0,0,0.7666666666666667,0.7333333333333333,0.5333333333333333,0.8333333333333334,0.9666666666666667
115,1,1,0.425,0.3,0.5,0.4,0.5
116,14,-1,0.6833333333333333,0.8333333333333334,0.6666666666666666,0.6333333333333333,0.6
117,15,-1,0.35,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.5333333333333333
118,1,0,0.559322033898305,0.5,0.4666666666666667,0.5357142857142857,0.7333333333333333
119,16,-1,0.13333333333333333,0.4,0.0,0.03333333333333333,0.1
120,17,-1,-0.10714285714285714,-0.2,-0.07142857142857142,0.0,-0.15384615384615385
121,0,0,0.49166666666666664,0.43333333333333335,0.4666666666666667,0.5666666666666667,0.5
123,18,-1,0.32,0.26666666666666666,0.5,0.26666666666666666,0.1
125,19,-1,0.36607142857142855,0.6,0.16666666666666666,0.4166666666666667,0.2857142857142857
126,1,0,0.5166666666666667,0.5666666666666667,0.36666666666666664,0.5,0.6333333333333333
